course_id;course_name;professor;department;semester;days;time;description
PSY 1901;Methods of Behavioral Research;Valshtein;Psychology;2021 Fall;"[{""days"":""T""}]";10:30am -  11:45am;This is a lecture course with a laboratory component. Our goal is for you to master the essentials of behavioral experimentation through a succession of projects, starting with a small number of fundamental paradigms that can be used in many areas of psychology, culminating with a larger final project. Emphasis will be on understanding causal inference and acquiring practical laboratory skills and more abstract conceptual tools. Basic aspects of data exploration and analysis will be covered. A h
FRENCH  117;The Politics and Aesthetics of Mourning;Rodriguez;Romance Languages & Lit;2021 Fall;"[{""days"":""M""}]";3:00pm -  5:00pm;In this course, we will study literary responses to and representations of loss, both public and private, in twentieth- and twenty-first-century French literature. We will investigate how mourning intersects with various theoretical and historical topics including gender and sexuality, the memory of war, and the AIDS epidemic. We will discuss how the particular intellectual contexts and historical events of the twentieth century brought about shifts in the way that individuals and communities ex
HIND-URD  101B 001;Introductory Hindi-Urdu;Delacy;South Asian Studies;2022 Spring;"[{""days"":""M""},{""days"":""T""},{""days"":""W""},{""days"":""Th""}]";3:00pm -  4:15pm;An Introduction to the modern standard form of the most widely spoken language in South Asia, Hindi-Urdu. Students are introduced to both writing systems: the Devanagari script of Hindi and the Nastaliq script of Urdu. The basic grammatical structures are presented and reinforced, and students are also exposed to the cultural and historical context in which Hindi-Urdu has existed over several centuries. The course also draws from the modern medium of film, in particular recent Bollywood songs, t
TDM  147L;The Processes of Inter-Media and Choreographic Exchange;ROD;Theater, Dance & Media;2021 Fall;"[{""days"":""T""}]";3:00pm -  5:45pm;This experimental laboratory supports interdisciplinary intersections with choreography, dance, and media. The purpose of Inter-Media and Choreographic Exchange provides each enrolled participant with a research laboratory to deepen new and established ways of artmaking/artivism through the lens of choreography. The course surveys the history of these intersections and the relationship of the moving body to unlock diverse projects related to, but not limited to, movement, filmmaking, lighting an
PSY 1340;Imagination, Pretense, and Make-Believe Worlds;Ullman;Psychology;2021 Fall;"[{""days"":""W""}]";9:45am -  11:45am;People spend much of their time in make-believe worlds: children pretend, adults daydream, and both immerse themselves in movies and novels. The imagination plays a large role in our mental lives, different from perception and memory. This seminar will examine imagination, simulation, and pretense from the perspective of modern psychology and cognitive science. We will consider imagination from its infancy in children’s play, through its use and abuse in adulthood, up to recent attempts to
ARABIC  BA 002;Intermediate Arabic I;Halaby;Near Eastern Languages & Civ;2021 Fall;"[{""days"":""M""},{""days"":""T""},{""days"":""W""},{""days"":""Th""}]";10:30am -  11:45am;A thorough review and continuation of literary (classic and modern) Arabic grammar with emphasis on reading, writing, speaking and listening comprehension. Course materials draw from both classical and modern Arabic literature and culture. Required textbook: Al-Kitaab fii Ta'allum al-Arabiyya, Part II with DVDs, 3rd edition.
PSY 1950;Intermediate Statistical Analysis in Psychology;Mair;Psychology;2021 Fall;"[{""days"":""M""},{""days"":""W""}]";3:00pm -  4:15pm;The primary goal of this course is to offer intense, foundational exposure to psychological statistics, focusing heavily on applications and computation using the R environment for statistical computing. The methodological core of the first part of the course is the linear model which includes methods such as regression, t-test, analysis of variance (ANOVA), and others. The second part of the course focuses on extensions in terms of linear mixed-effects models (aka multilevel models) and general
HEB 1326;Ancient DNA as a Window Into the Human Past;Reich;Human Evolutionary Biology;2022 Spring;"[{""days"":""M""},{""days"":""W""},{""days"":""F""}]";9:00am -  10:15am;Over the last decade, ancient DNA technology has made it possible to ask and answer questions that were impossible to address before, and the findings that have emerged are profoundly challenging and enriching previous understandings of the past gleaned from fields outside genetics. This course is aimed at providing students with the tools needed to critically evaluate and perform original research. The centerpiece of the course will involve students learning how to analyze ancient DNA data&mdas
CHNSE  142B;Advanced Conversational Chinese;Chen;East Asian Langs & Civ;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";12:00pm -  1:15pm;Continuation of 142a.  This course builds on the foundation that students have gained through prior Chinese coursework, with a focus on improving oral expression. Classes take the form of presentations, discussions, debates, and other activities designed to strengthen both extemporaneous and prepared speaking ability.
HIST 1405;American Legal History, 1776-1865;Gordon-Reed;History;2021 Fall;"[{""days"":""M""},{""days"":""T""}]";10:45am -  12:15pm;"This course will trace the development of the American legal and political system from 1776 to 1865. We will discuss the formation of state constitutions and the Federal Constitution, slavery and law, the development of American private law, the ""Revolution of 1800"" and the ""Age of Jefferson"", the mechanisms of westward expansion, the ""Age of Jackson"", and the coming of the Civil War."
PSY 1525;Psychology for a Sustainable Future;Rode;Psychology;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";3:00pm -  4:15pm;The ongoing rise of the average global temperature has led to—and will continue to lead to—more frequent and severe flooding, droughts, habitat loss, and societal impacts such as wars, famine, and clean water scarcity. How did this happen? What can we do? This course focuses on the role that human psychology has played in ecological destruction and, in turn, highlights how psychological science can help solve the global environmental crisis. We will combine research from social, beha
CZCH  BA;Intermediate Czech I;Tuckerova;Slavic Languages & Literatures;2021 Fall;"[{""days"":""M""},{""days"":""W""},{""days"":""F""}]";10:30am -  11:45am;Part one of a two part intermediate course in modern Czech language and culture for students with previous study of the language. Further development of vocabulary and oral expression within a comprehensive review of Czech grammar. All four major communicative skills (speaking, listening comprehension, reading, writing) are stressed as students learn to use the language both as a means of communication and as a tool for reading and research. Systematic study of word formation and other strategie
OEB  103;Plant Systematics and Evolution;Davis;Organismic & Evolutionary Biol;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";12:00pm -  1:15pm;An introduction to the diversity and evolution of vascular plants. The course focuses mainly on flowering plants because of their dominant role on the earth, but lycophytes, ferns, and gymnosperms are studied as well. A phylogeny of vascular plants provides the framework for their evolution and diversification. Related subjects, including plant habitats, biogeography, phylogenetics, herbaria, nomenclature, and pollination biology are also presented in lecture and laboratory.
RUSS  BAB;Intermediate Russian (Intensive);Chirkov;Slavic Languages & Literatures;2022 Spring;"[{""days"":""M""},{""days"":""T""},{""days"":""W""},{""days"":""Th""},{""days"":""F""}]";Split Schedule;An intensive version of Russian Ba and Russian Bb, covering the same material in a single semester. Class meets five days per week with five hours of the main section and three hours of small group speaking practice each week. Readings may vary.
SOCIOL  128;Models of Social Science Research;Chang;Sociology;2022 Spring;"[{""days"":""M""},{""days"":""W""}]";12:00pm -  1:15pm;This course introduces students to core methodological concepts and strategies used in social science research including: research design, sampling and measurement, experiments, survey analysis, content analysis, network analysis, ethnography, and interviewing. Throughout the course we will develop the analytical skills necessary to interrogate epistemological assumptions in published social science research specifically and truth-claims generally. In addition to critically evaluating previous r
SAS  100R 004;South Asian Language Tutorials, Introductory Level;Patil;South Asian Studies;2021 Fall;[];-  TBA;"Individualized study of a South Asian language at the introductory level; emphasis on written expression, reading comprehension and oral fluency. Languages recently offered are Elementary Bahasa Indonesia, Elementary Bengali, and Elementary Burmese though others may be approved upon petition to the Director of Undergraduate Studies/Director of Graduate Studies."
AFVS  153AR;Experimental Animation: Intermediate Animation Course;Lee;Art, Film, and Visual Studies;2021 Fall;"[{""days"":""W""}]";12:00pm -  4:15pm;This studio-based course explores animation as an artistic expression, different from a commercial studio production. We will study the examples of experimental animation works starting from earlier abstract, non-linear animation works, all the way to contemporary works. We will discuss how artists use animation and its evolving technology to explore deeply personal stories, political issues, and to imagine alternative worlds. Guided by in-class prompts, we will work with analogue materials and
AFRAMER  115Y;Introduction to African Popular Culture;Ogene;African & African Amer Studies;2021 Fall;"[{""days"":""M""},{""days"":""F""}]";3:45pm -  5:45pm;This course will introduce students to defining trends, movements, and practices in twentieth and twenty-first century popular culture in Africa. Focusing on the lives, interventions and innovative practices of key figures in music, television, fashion, dance, and publishing, we will examine the socio-political and the historical in relation to broader aesthetic and stylistic links to the rest of the world. This will be discussed in the larger context of colonial and postcolonial class formation
LATIN  107;Lucretius;Philbrick;Classics, The;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";9:00am -  10:15am;Readings from the De Rerum Natura with attention to both Epicurean philosophy and poetic expression. In addition to the details of Lucretius' atomism and theory of the universe, we will consider the use of poetic form for scientific subject matter and the lasting literary influence of this work.
OEB  128;From Darwin to Derrida: The Evolution of Meaning and Purpose;Haig;Organismic & Evolutionary Biol;2022 Spring;"[{""days"":""M""}]";3:00pm -  5:00pm;The seminar will read my recent book (of the same name as the course) intended for a general educated readership. The seminar would be suitable both for science students and for non-science students who wish to learn some evolutionary biology. Natural selection is a purposeless process that has evolved purposive creatures. The key innovation in the evolution of life was the origin of a textual record of past choices of natural selection contained within genetic sequences. The information in gene
THI  102B;Intermediate Thai II;Delacy;South Asian Studies;2022 Spring;[];-  TBA;Continuation of Thai 102a
HISTSCI 1890;Co-ops, Commons, and Communes: The Technology of Cooperation;Unger;History of Science;2022 Spring;"[{""days"":""T""}]";3:00pm -  5:45pm;In this class we will look at ways that people have sought to organize themselves and their economy in cooperative, humane, and equitable ways. We will look at the organizational and decision-making technologies and techniques of cooperative enterprises, physical and digital commons, intentional communities, and the organizations that spring up in the wake of social breakdowns (such as after political revolutions and natural disasters). We will also trace how these movements have made explicit o
MEDVLSTD  111;Sex, Love, and Marriage in the Middle Ages;Gilsdorf;Medieval Studies;2021 Fall;"[{""days"":""M""},{""days"":""W""}]";1:30pm -  2:45pm;This class explores the relationships of passion, love, and obligation that bound men and women over the course of nearly two millennia, from Rome in the first century B.C.E. to sixteenth-century Italy. In particular, it focuses on how those relationships were organized legally and institutionally, on the social roles created by such relationships, and on the connection (or lack thereof) between marriage, love, and sexual passion. Although marriage in the West long was viewed as an exclusively h
TURKISH  130A;Advanced Turkish I;Demir;Near Eastern Languages & Civ;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";3:00pm -  5:00pm;Gaining and improving advanced language skills in Modern Turkish through reading, writing, listening, and speaking with special emphasis on the proper usage of vocabulary and idiomatic expressions.
E-PSCI  101;Global Warming Science 101;Tziperman;Earth & Planetary Sciences;2022 Spring;"[{""days"":""W""}]";3:00pm -  5:45pm;An introduction to the science of global warming/ climate change, meant to assist students to understand issues that often appear in the news and public debates. The course is meant for any STEM student with a basic math preparation, not assuming prior science courses. Topics include: the greenhouse effect, and consequences of the rise of greenhouse gasses including sea level rise, ocean acidification, heat waves, droughts, glacier melting, hurricanes, forest fires and m
TDM  135B;Puppet Theater;Brehm;Theater, Dance & Media;2021 Fall;"[{""days"":""Th""}]";3:00pm -  5:45pm;Uniquely, the puppeteer often occupies multiple roles in a production simultaneously: playwright, designer, director, and performer. This laboratory course studies that fusion while students create original works of puppet theater. Contemporary puppet theater approaches design and devising from a wholistic perspective. All objects onstage contribute to a total performing world. Characters, scenery, and even the stage itself may all be manipulated by hand to become animate, performing beings
SOCIOL 1172;Sociology of Black America;Rivers;Sociology;2022 Spring;"[{""days"":""M""},{""days"":""W""}]";10:30am -  11:45am;
ENGLISH  CALR;Advanced Screenwriting: Workshop;Syeed;English;2022 Spring;"[{""days"":""T""}]";12:00pm -  2:45pm;The feature-length script is an opportunity to tell a story on a larger scale, and, therefore, requires additional preparation. In this class, we will move from writing a pitch, to a synopsis, to a treatment/outline, to the first 10 pages, to the first act of a feature screenplay. We will analyzeproduced scripts and discuss various elements of craft, including research, writing layered dialogue, world-building, creating an engaging cast of characters. As an advanced class, we will also look at w
SOCIOL 1159;Ethnic Division and Segregation: Causes, Expressions, and Consequences;Feinstein;Sociology;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";12:00pm -  1:15pm;Ethnicity divides society into groups based on the belief that members of each group share a common origin and a unique culture. It is one of the oldest social phenomena with various consequences, some of which this course addresses. These are some of the core questions in sociological research of ethnicity that we will discuss in this course: How are the boundaries that separate ethnic groups created, maintained, or change? How do democratic regimes manage ethnic diversity and potential tension
GREEK  110;Plato, Protagoras;Driscoll;Classics, The;2022 Spring;"[{""days"":""M""},{""days"":""W""}]";3:00pm -  4:15pm;"With its amusing cross-talk, rigorous philosophic analysis, and grand speeches, the Protagoras is one of the most varied and engaging of Plato’s dialogues. The discussion ranges from mythology to psychology to political theory as Socrates and the ""sophist"" Protagoras duel over the nature of human virtue. In this course, we will attempt to read the entire text in Greek, with targeted review of vocabulary and grammar alongside discussion of the dialogue’s literary and philoso"
AFVS  144M;Photography and Ecology;Best;Art, Film, and Visual Studies;2021 Fall;"[{""days"":""Th""}]";12:45pm -  2:45pm;"Integrating the study of art history, research-based artistic production, theory, and environmental studies, the aim of this course is to critically and actively explore the contemporary interplay between photographic vision and environmental history; the shifting composition, structure, and function of landscapes; cultural constructions of nature and environmental perceptions; environmental justice, politics, and policy; and, the role of photography in responding to how humans create and impact"
AKKAD  AB;Introductory Akkadian II;Barjamovic;Near Eastern Languages & Civ;2022 Spring;"[{""days"":""M""},{""days"":""W""}]";12:00pm -  1:15pm;An introduction to the Semitic language of Akkadian, primarily through the Old Babylonian dialect and cuneiform writing system as used during the time of Hammurabi (c. 1750 BCE). Students learn the fundamentals of grammar and the writing system, as well as the most common cuneiform signs in official and cursive script. Readings span a variety of genres, including private letters, judicial documents, literary and religious texts, divinatory compendia, legal code, and royal inscriptions. The cours
E-PSCI  134;Climate Change Debates: The Reading Course;Huybers;Earth & Planetary Sciences;2021 Fall;"[{""days"":""W""}]";3:00pm -  5:45pm;The atmospheric carbon dioxide concentration is now the highest it has been in at least 800,000 years, raising concerns regarding possible future climate changes. This reading course will survey the science of global change from the perspective of scientific debates within the climate community. Specifically, the course will involve guided reading and discussion of papers that present contentious view points on the science of global change, with the goal of students learning how to scientificall
SUDANESE  101BR;Advance Sudanese Arabic II;Mugane;African & African Amer Studies;2022 Spring;[];-  TBA;A study of Sudanese Arabic the official and national working language in Sudan at the Advanced level in the Spring semester. As needed, successive advanced readings Sudanese Arabic may be taken under Sudanese Arabic 101br every Spring.
ECON 1050;Strategy, Conflict, and Cooperation;Neugeboren;Economics;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";3:00pm -  4:15pm;"Game theory is the study of interdependent decision-making.  In the early days of the cold war, game theory was used to analyze an emerging nuclear arms race; today, it has applications in economics, psychology, politics, the law and other fields.  In this course, we will explore the “strategic way of thinking” as developed by game theorists over the past sixty years.  Special attention will be paid to the move from zero-sum to nonzero-sum game theory.  Students w"
VIETNAM  130B;Advanced Vietnamese;Ngo;East Asian Langs & Civ;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";3:00pm -  5:00pm;Continuation of Vietnamese 130a. Development of high proficiency in Vietnamese. Introduction of complex grammar and vocabulary, using authentic Vietnamese texts, videos, and translation of English news articles into Vietnamese. Discussions focus on selected short stories and poems.
AFVS  151BR;Nonfiction Video Projects;McElwee;Art, Film, and Visual Studies;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";9:00am -  11:00am;Working from a proposal approved in advance by the instructor, each student plans, shoots, and edits a documentary video of his or her design. Shooting should take place over the summer and editing during the fall term. Readings and screenings augment individual work.
GENED 1145;Global Japanese Cinema;Zahlten;General Education;2021 Fall;"[{""days"":""M""}]";9:00am -  11:00am;Global Japanese Cinema introduces some of the masterworks from the rich history of Japanese cinema as a way of exploring the global language of film. Participants will learn how to analyze moving images and the ways they influence us – a basic media literacy that we all need for life in a media- saturated society. Additionally we will learn how culture, in this case moving images, flows across the globe and transforms its meaning in site-specific ways. We will see how Japanese cinema&rsquo
CHNSE  140B 002;Advanced Modern Chinese;Shao;East Asian Langs & Civ;2022 Spring;"[{""days"":""M""},{""days"":""W""},{""days"":""F""}]";12:00pm -  1:00pm;Continuation of Chinese 140a.  This course aims at further developing students’ ability to use Chinese at a more advanced level. Students will engage in in-depth readings and discussions of various genres and writing styles, including argumentative essays, narratives, journalistic articles, and descriptive and literary writing. Emphasis is placed on reading and writing to specific audiences, and the use of complex structures and advanced vocabulary in formal speech and writing.
TDM  167SC;"Nah; or, gestures of resistance: Performance, Technology, and Refusal";--;Theater, Dance & Media;2021 Fall;"[{""days"":""T""}]";3:00pm -  5:45pm;With a focus on opacity, refusal, and other gestures of resistance, this studio course will be an experimental testing ground for performance art using new media. We will study performances that refuse, subvert, and question oppressive structures often using new media and technology and the strategies these performances deploy. Students will work intensively to create performance works using sound, video, installation, and networked media (including the internet). Students should be prepared to
JAPAN  120A 002;Intermediate Japanese I;Miyagawa;East Asian Langs & Civ;2021 Fall;"[{""days"":""M""},{""days"":""T""},{""days"":""W""},{""days"":""Th""}]";12:00pm -  1:00pm;Second-year intermediate level course aimed at consolidation of the basic grammatical patterns of Japanese and development of reading, writing, speaking, and listening skills to the level necessary for communication in everyday life in Japanese society. Introduction of approximately 150 Chinese characters beyond those introduced in Bb.
BE  130;Neural Control of Movement;Smith;Biomedical Engineering;2022 Spring;[];-  TBA;"Approaches from robotics, control theory, and neuroscience for understanding biological motor systems. Analytical and computational modeling of muscles, reflex arcs, and neural systems that contribute to motor control in the brain. Focus on understanding how the central nervous system plans and controls voluntary movement of the eyes and limbs. Learning and memory; effects of variability and noise on optimal motor planning and control in biological systems."
NEURO  125;Molecular Basis of Behavior;Dulac;Neuroscience;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";1:30pm -  2:45pm;Modern molecular genetic approaches are teaching us a great deal on how the brain controls behaviors. This course will cover newly developed experimental strategies of molecular neuroscience, and how they have helped uncover the nature and identity of behavior circuit components. How genes and molecules affect behaviors will be investigated through key examples of mammalian behaviors with an emphasis on instinctive and social behaviors, their expression, development, and associated mental disord
LING  116;Semantic Theory I;Sag-Parvardeh;Linguistics;2021 Fall;"[{""days"":""T""}]";9:45am -  11:45am;An introductory course on semantics in generative grammar. This course provides the formal tools to investigate the truth-conditional meanings of sentences. Topics covered include: compositionality, type theory and the fundamentals of clause structure, quantifier scope, and variable-binding.
PHYSICS  175;Laser Physics and Modern Optical Physics;Greiner;Physics;2022 Spring;"[{""days"":""W""},{""days"":""F""}]";1:30pm -  2:45pm;Introduction to laser physics and modern optical physics aimed at advanced undergraduates. Review of electromagnetic theory and relevant aspects of quantum mechanics. Wave nature of light. Physics of basic optical elements. Propagation of focused beams, optical resonators, dielectric waveguides. Interaction of light with matter, introduction to quantum optics. Lasers. Physics of specific laser systems. Introduction to nonlinear optics. Modern applications.
HIST 1067;An Introduction to the History of Economics;Kumekawa;History;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";10:30am -  11:45am;The course provides an introduction to the history of economic thinking, from Huan K'uan through Adam Smith, Karl Marx, and Paul Samuelson, to Abhijit Banerjee and Esther Duflo. It explores economic concepts in historical perspective, from the state and the market to natural resources and financial crises.
PHIL  180;Justice and the Politics of Cultural Memory and Representation;Mora;Philosophy;2022 Spring;"[{""days"":""Th""}]";12:00pm -  2:45pm;In this course we will examine a range of issues which we might, very loosely, term ethical questions of social, cultural, and artistic representation. We will be examining three principal issues. Our focus will begin with questions of historical representation. In a range of national and social contexts questions of historical representation have become increasingly prominent and divisive political issues. How should a national community regard, relate to, and represent histories and historical
AFVS  152X;The Essay Film;Guzzetti;Art, Film, and Visual Studies;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";Split Schedule;The essay film is a loosely defined, wide-ranging genre of nonfiction.  Students in the course will divide their time between studying and making works in this genre.  We will see and discuss well known works, such as Man with the Movie Camera and Sans Soleil, as well as a variety of lesser known films, including those that test the genre’s limits.  The practical assignments will center on using digital video to explore the possibilities of creating essays in the motion pict
OEB  145;Genes and Behavior;Zhang;Organismic & Evolutionary Biol;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";1:30pm -  2:45pm;Behavior is inheritable and regulated by genes. This lecture course explores causal links between genes and behavioral traits, aiming to provide mechanistic understanding of how gene products control and influence behavioral outputs. The course will start with discoveries of genes whose mutations contribute to neurological diseases and psychiatric disorders, followed by main research approaches used to investigate genetic basis of behavior and brain function. The class will then have in-depth le
HEB 1451;Primate Functional Genetics and Genomics;Capellini;Human Evolutionary Biology;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";10:30am -  11:45am;Recent advances in genetics, genomics, and developmental biology are improving our understanding of human and non-human primate biological traits. These disciplines, when incorporated into a multi-faceted context, can reveal the mechanistic basis of evolutionary adaptations. This seminar is designed to investigate and critically evaluate foundational and novel research in primates (and other organisms) that employs the tools of these trades. In doing so, students are exposed to an integrative pe
TIGRINYA  101AR;Advanced Tigrinya;Mugane;African & African Amer Studies;2021 Fall;[];-  TBA;A study of Tigrinya a major language spoken in Ethiopia at the Advanced level in the Fall semester. As needed, successive advanced readings in Tigrinya may be taken under Tigrinya 101ar every Fall.
CHNSE  130XA 001;Pre-Advanced Modern Chinese for High-Proficiency Learners;Zhang;East Asian Langs & Civ;2021 Fall;"[{""days"":""M""},{""days"":""W""},{""days"":""F""}]";10:30am -  11:30am;Designed for students whose Chinese speaking and listening skills are near-native, but whose reading and writing skills are at a high-intermediate level. This course focuses on reading texts based on current issues and cultural phenomena, and then applying complex grammar structures acquired to students’ own writing.
COMPLIT  171;Counter-Imperialism and Asian-African Literatures;Lienau;Comparative Literature;2022 Spring;"[{""days"":""F""}]";3:00pm -  5:45pm;The first Asia-Africa conference of newly independent states (held in Indonesia in 1955) was hailed by contemporary observers as an event as significant as the European renaissance in global importance. It inspired a sequence of political and cultural initiatives (including several African-Asian writers’ conferences) in pursuit of new forms of cultural exchange and political brokering unmediated by former colonial centers. This course explores the historic tensions of this transition towar
CHNSE  130A 001;Pre-Advanced Modern Chinese;Jia;East Asian Langs & Civ;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";10:30am -  11:30am;The aim of this course is to further develop students’ Chinese proficiency in both spoken and written language. By reading texts based on current issues and cultural phenomena and engaging in in-depth class discussions, students will continue to expand their vocabulary, master more complex grammatical structures, and develop an ability to perform tasks involving description, narration, and argumentation at the discourse level.
LING  171;Structure of Chinese;Huang;Linguistics;2021 Fall;"[{""days"":""W""}]";3:00pm -  5:00pm;"Introduction to the syntactic structure of Mandarin Chinese: the basic structure of clauses and nominal constituents; words, compounds, and phrases; word order and variations; selected special topics (passives, resultatives, ba-construction, topic and relativized structures, questions, anaphora, pro drop); syntactic structure and semantic interpretation."
KOREAN  130A;Pre-advanced Korean;Lee;East Asian Langs & Civ;2021 Fall;"[{""days"":""M""},{""days"":""W""},{""days"":""F""}]";12:00pm -  1:15pm;Korean 130a is designed for students who have completed Intermediate Korean 120b or have equivalent proficiency. Students will consolidate previously learned grammatical patterns and vocabulary through written and audio-visual materials on a variety of topics. By exploring the these topics in Korean, students will not only enhance their language skills of listening, reading, speaking and writing in Korean, but will also allow them to better comprehend Korean culture and society. Emphasis will be
PSY 1322;Decisions Big and Small: The Cognitive Science of Making Up Your Mind;Ullman;Psychology;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";10:30am -  11:45am;Life is full of decisions, but not all decisions are made equal. Choices can be big and consequential (should I focus on my success, family, or passion), or small and everyday (going out, or staying in). This course will introduce you to the cognitive science of judging and choosing. You will learn about 1) Rational planning, the kind a perfect intelligence might carry out 2) Common simplifications and shortcuts that non-perfect humans use, and how these may actually be appealing approximations
NEURO  101GB;Sex, Gender and the Brain;Tan;Neuroscience;2022 Spring;"[{""days"":""W""}]";6:00pm -  7:15pm;Animals exhibit many innate, sex-typical behaviors that provide useful models to study the underlying neural circuits, and sex/gender differences in the nervous system also have important implications for human health. Through discussions, activities, and lectures, this course introduces students to various aspects of sexually dimorphic neural circuits across model organisms, while emphasizing critical thinking and effective science communication.
SCRB  195;The Translational Science of Stem Cells;Rubin;Stem Cell & Regenerative Biol;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";12:00pm -  1:15pm;Stem cell biology has gone mainstream, having become essential for both understanding and treating human disease. In this seminar/lecture course, students will learn about using functional human cells (such as pancreatic beta cells or dopaminergic neurons) to treat disease. They will also learn about using these cells to model diseases, such as ALS and Parkinson’s disease, with the goal of identifying more effective, possibly patient-specific, therapeutics. Finally, stu
