course_id;course_name;professor;department;semester;days;time;description
SPANSH  11 006;Beginning Spanish II;Mendez Seijas;Romance Languages & Lit;2021 Fall;"[{""days"":""M""},{""days"":""W""},{""days"":""F""}]";9:00am -  10:15am;Spanish 11 is the second course in the Beginning Spanish sequence (SPAN 10-SPAN 11). In this course, students explore a host of social, cultural, and environmental sustainability issues that have historically impacted the lives and livelihoods of local and foreign Spanish-speaking communities. Throughout the semester, students interact constantly with instructors, peers, and native Spanish speakers around the world as they explore culturally and linguistically rich content. Through discussi
ANTHRO  92XR;Archaeological Research Methods in Museum Collections;Ur;Anthropology;2021 Fall;[];-  TBA;Special (individual) study of Peabody Museum (PM) collections approved by the PM Director and directly supervised by a member of the PM curatorial staff. Requires a project involving a museum collection developed in consultation with the supervisor.
SAS  91R;Supervised Reading and Research;Patil;South Asian Studies;2022 Spring;[];-  TBA;Supervised reading leading to a long term paper in a topic or topics not covered by regular courses of instruction.
EXPOS  20 222;Expository Writing 20;Raymer;Expository Writing;2021 Fall;"[{""days"":""M""},{""days"":""W""}]";3:00pm -  4:15pm;An intensive seminar that aims to improve each student’s ability to discover and reason about evidence through the medium of essays. Each section focuses on a particular theme or topic, described on the Expos Website. All sections give students practice in formulating questions, analyzing both primary and secondary sources and properly acknowledging them, supporting arguments with strong and detailed evidence, and shaping clear, lively essays. All sections emphasize revision.
HAUSA  AA;Elementary Hausa;Mugane;African & African Amer Studies;2021 Fall;[];-  TBA;A study of Hausa a most widely used native language and lingua franca in West Africa at the Elementary level (First year part 1). Contact hours supplemented by digital resources. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to complete both terms of this course (parts AA and AB) within the same academic year.
ITAL  15;Intensive Beginning Italian: Gateway to Italy;Trebaiocchi;Romance Languages & Lit;2021 Fall;"[{""days"":""M""},{""days"":""T""},{""days"":""W""},{""days"":""Th""},{""days"":""F""}]";1:30pm -  2:45pm;"This is an intensive and complete first-year course in one term for students with no knowledge of Italian, focused on developing all four communicative skills. You will learn how to talk about personal topics, likes and dislikes, and your immediate environment (such as family, school, friends, daily routine); handle basic social exchanges (such as eating out or planning events); describe and narrate simple events in the present, past, and future; make comparisons; express possibility; present yo"
GERMAN  91R;Supervised Reading and Research;Parkes;Germanic Languages & Lit;2022 Spring;[];-  TBA;Advanced reading in topics not covered in regular courses.
SPANSH  20 005;Intermediate Spanish: Language and Culture in the Hispanic World;Gutierrez;Romance Languages & Lit;2021 Fall;"[{""days"":""M""},{""days"":""W""},{""days"":""F""}]";9:00am -  10:15am;An intermediate language and culture class that aims to consolidate and expand the skills of listening comprehension, speaking, reading and writing in Spanish. Includes a comprehensive review of the grammar and reinforces linguistic acquisition through texts, movies, art and multi-media projects to acquaint students with cultural issues relevant to the Spanish-speaking world.
MCB  99B;Laboratory Research for Honors Thesis;Mao;Molecular & Cellular Biology;2021 Fall;[];-  TBA;For honors candidates writing a thesis in Molecular and Cellular Biology. Ordinarily may not be taken as a fifth course. Students must complete both terms of this course (A and B) in order to receive credit.
GENED 1083;Permanent Impermanence: Why Buddhists Build Monuments;Kim;General Education;2022 Spring;"[{""days"":""M""},{""days"":""W""}]";12:00pm -  1:15pm;Everything changes. This is, in its simplest and most fundamental formulation, one of the essential teachings of Buddhism. Buddhist communities throughout history have preached, practiced, and written about the ephemerality and illusoriness of our everyday lives and experiences. Ironically, however, many of these same communities have attempted to express these teachings in the form of monumental structures meant to stand the test of time. Some of the world’s greatest cultural heritage sit
GENED 1024;Pride & Prejudice & P-values: Scientific Critical Thinking;Hall;General Education;2022 Spring;"[{""days"":""M""},{""days"":""W""}]";9:00am -  10:15am;"We humans have developed rational and systematic methods for solving problems, ways carefully designed to chart a reliable path to the truth. Yet we as individuals, as groups, as whole societies fail to take full advantage of these methods. This course aims to equip you to do better, by helping you explore what it means to approach a question “scientifically."" What skills – and more importantly, habits of mind – does this approach require of you as an individual (espe"
HIST  74L;The New Deal and American Liberalism;TBA;History;2021 Fall;[];Cancelled;This course studies the responses to the Great Depression that formed the New Deal. Particular attention will be paid to the connection of between policy development and the rise of American Liberalism. Major topics include Social Security, economic redistribution, Keynesianism, social planning, regulatory reform, conservative critiques of the New Deal and others.
ECON  10A;Principles of Economics (Microeconomics);Le Brun;Economics;2022 Spring;[];-  TBA;Economists study human behavior using a combination of models and data. Ec 10a introduces students to economic models by using intuitive discussions, graphical analysis, and, in some cases, very basic algebra. The models study individual decision-making and markets, and range from classical approaches like supply and demand to more recent approaches that consider informational limitations and behavioral mistakes. We will also use data to understand the strengths and weaknesses of these models. T
FRSEMR  51M;Skin, Our Largest, Hottest, and Coolest Organ: From Cancer to Cosmetics;Fisher;Freshman Seminars;2021 Fall;"[{""days"":""M""}]";3:00pm -  5:45pm;Skin provides a protective barrier that is vital to survival of all multicellular organisms. Its physical properties have been exploited for centuries, from clothing to footballs, and yet skin is a vibrant and dynamic organ that responds to environmental signals in myriad ways. Skin protects humans from toxic exposures, but can also be an intrinsic source of dangerous diseases. While its defects only rarely kill humans, its imperfections can cause misery and discomfort, ranging from subtle annoy
PORTUG  20;Intermediate Portuguese: Palcos e Palavras;Soares;Romance Languages & Lit;2022 Spring;"[{""days"":""M""},{""days"":""W""},{""days"":""F""}]";1:30pm -  2:45pm;An intermediate course for students interested in expanding and strengthening their Portuguese language skills. Reading, writing, and conversational competencies are emphasized through an introductory study of Brazilian theater. The course will continue to promote students’ cross-cultural understanding through music, film, literature, social media, and Teletandem, a weekly online interaction with Brazilian students at the Language Center.
LATIN  2 001;Introductory Latin 2;Livingston;Classics, The;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";Split Schedule;Latin 2 continues from Latin 1. Participants will continue to develop their ability to read Latin with increasing emphasis on classical texts.
ASTRON  99B;Senior Thesis in Astrophysics;Johnson;Astronomy;2022 Spring;"[{""days"":""Th""}]";1:00am -  2:15am;Individually supervised reading and research leading to the senior thesis. The Harvard-Smithsonian Center for Astrophysics is home to one of the largest groups of astronomers in the world, providing extensive opportunities for undergraduate research. Both Part A and Part B must be taken in the same academic year in order for students to receive credit. Part two of a two part series.
GENED 1034;Texts in Transition;Blair;General Education;2021 Fall;"[{""days"":""M""},{""days"":""W""}]";3:00pm -  4:15pm;We live in a moment of rapid changes in the ways we communicate. As our writing becomes ever more digital—and paradoxically both more ephemeral and more durable—the attitudes and tools we have for preserving our culture seem more complex and fluid. This course studies how written language—text— travels through time and across media. We will ask: how good are texts for capturing, transmitting, and preserving human experience? How have texts come down to us from the distant
GENED 1018;How to Build a Habitable Planet;Langmuir;General Education;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";1:30pm -  2:45pm;The aim of this course is to place human beings in a universal and planetary context. You will learn where we come from beginning with the Big Bang and ending with modern human civilization and our relationship to the planet from which we have evolved and on which we depend.  You will understand the factual evidence for the Big Bang, the origin of the elements, plate tectonics, evolution and climate change.  From this story a process of planetary evolution emerges and we will
HAA  63;The Art of Love: Erotic Painting from Botticelli to Goya;Kinew;History of Art & Architecture;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";1:30pm -  2:45pm;Erotic painting holds a central and fascinating role in the construction of early modern art, from the early Quattrocento to Modernity. At its inception, Renaissance erotic art rose out of a culture of humanism, inspired by Latin poetry. It became an elaborate artform for a cultural elite, which was made and collected by an educated audience, both male and female. As Renaissance and Baroque art became increasingly sensual, the art began to address explicitly the desires of predominantly male vie
ITAL  40;Advanced Italian I: Italian Through Cinema: Oral Expression and Performance;Trebaiocchi;Romance Languages & Lit;2022 Spring;"[{""days"":""W""},{""days"":""F""}]";12:00pm -  1:15pm;Through the exploration of both old and contemporary Italian movies in comparison, you will explore themes such as: immigration, family and stereotypes, regional difference between the North and the South, and the cinematic representation of mafie, among others. Course work – which include analysis of scripts excerpts and film reviews, creative writing assignments, presentations, and a group final project – is designed to advance language proficiency, explore different dialects and r
ENGLISH  20 002;Literary Forms;Burt;English;2022 Spring;"[{""days"":""M""},{""days"":""W""}]";1:30pm -  2:45pm;This foundational course for English concentrators examines literary form and genre. We explore some of the many kinds of literature as they have changed over time, along with the shapes and forms that writers create, critics describe, and readers learn to recognize. The body of the course looks to the great literary types, or modes, such as epic, tragedy, and lyric, as well as to the workings of literary style in moments of historical change, producing the transformation, recycling, and sometim
EXPOS  20 ES03;Expository Writing 20;Deli;Expository Writing;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";12:00pm -  1:15pm;An intensive seminar that aims to improve each student’s ability to discover and reason about evidence through the medium of essays. Each section focuses on a particular theme or topic, described on the Expos Website. All sections give students practice in formulating questions, analyzing both primary and secondary sources and properly acknowledging them, supporting arguments with strong and detailed evidence, and shaping clear, lively essays. All sections emphasize revision.
GERMAN  90R 002;Germanic Language Tutorial: Dutch;Parkes;Germanic Languages & Lit;2021 Fall;[];-  TBA;Individualized study of a Germanic language not ordinarily taught. Contact hours with language tutor. Emphasis on literacy.
GERMAN  99A;Tutorial - Senior Year;Parkes;Germanic Languages & Lit;2021 Fall;[];-  TBA;Open to concentrators writing an honors thesis under faculty supervision. Students are expected to enroll for the entire year. Permission of the Director of Undergraduate Studies is required. Part one of a two-part series.
PHIL  99;Tutorial - Senior Year;Chen;Philosophy;2022 Spring;[];-  TBA;Students writing a senior thesis in philosophy enroll in PHIL 99.
SPANSH  61PH 002;Spanish for Public Health;Gutierrez;Romance Languages & Lit;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";1:30pm -  2:45pm;An advanced language and culture class that examines literature, documentary, films, journalistic articles and other media portraying the cultural, political, sociological and financial impact of Public Health issues in Latin America. Students' linguistic competency is developed through discussion of the issues of public health. Grammar reviews, and weekly writing assignments.  Students will also choose a specific project for a Public Health issue in Latin America and research its possi
TWI  AB;Elementary Twi;Mugane;African & African Amer Studies;2022 Spring;[];-  TBA;Twi is one of the regional languages of the Akan speaking peoples of Ghana, constituting the largest ethnic group in Ghana. Twi is fast becoming the lingua franca of the country. This course aims to help students acquire the Twi language at the basic or elementary level.  Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year.
MBB  980W;Creativity at the Edge: Health, Music and Community;Wong;Mind, Brain & Behavior;2022 Spring;"[{""days"":""Th""}]";3:00pm -  5:00pm;In 2016, an ad hoc committee of artists, scientists, physicians and college administrators was convened by the National Academies of Sciences, Engineering, and Medicine’s Board of Higher Education and Workforce Development to consider the role of the arts and humanities in STEMM. The committee published its conclusions in the 2018 report The Integration of the Humanities and Arts with Sciences, Engineering, and Medicine in Higher Education: Branches from the Same Tree, asserting that inter
CHEM  20;Organic Chemistry;McCarty;Chemistry & Chemical Biology;2022 Spring;"[{""days"":""M""},{""days"":""W""},{""days"":""F""}]";9:00am -  10:15am;"An introduction to structure and bonding in organic molecules; mechanisms of organic reactions; chemical transformations of the functional groups of organic chemistry; synthesis; determination of chemical structures by infrared and NMR spectroscopy."
FRSEMR  71O;The Heart of Medicine: Patients & Physicians & Experience of Serious Illness in the Age of COVID-19;Block;Freshman Seminars;2021 Fall;"[{""days"":""W""}]";3:00pm -  5:00pm;Sickness and death are universal human experiences.  Although the COVID-19 pandemic has brought this reality home, in many difficult ways, to all of us over the past 2 years, thinking about our own losses and vulnerability and that of people we love is often uncomfortable.  This terrible year has also created many opportunities for us to grow, as individuals and as a society.  Building on our collective experiences of the past year, we will explore our own perspectives and experie
SPANSH  40 004;Advanced Spanish Language I: Viewing the Hispanic World;Liander;Romance Languages & Lit;2021 Fall;"[{""days"":""M""},{""days"":""W""},{""days"":""F""}]";10:30am -  11:45am;An advanced language and culture class that further develops linguistic competence using a region or regions of the Hispanic world as a focus for class discussion, grammar review, and an introduction to Hispanic social contexts and texts. Course materials may also include films, interviews, paintings, photography, music, selections from the press, as well as literary or historical readings. Frequent written and oral assignments, and a thorough review of grammar. Consult course website for curren
MATH  22A;Vector Calculus and Linear Algebra I;Grundmeier;Mathematics;2021 Fall;"[{""days"":""M""},{""days"":""W""},{""days"":""F""}]";12:00pm -  1:15pm;Mathematics 22 covers multivariable calculus and linear algebra for students interested in mathematical sciences. It covers the same topics as Mathematics 21, but does so with more rigor. Students are taught techniques of proof and mathematical reasoning. The workload and content is comparable with the Mathematics 21 sequence. But unlike the latter, the linear algebra and calculus are more interlinked. The content of Math 22a is mostly aligned with Math 21b (linear algebra), and the content of M
ASTRON  91R;Supervised Reading and Research;Oberg;Astronomy;2022 Spring;[];-  TBA;Supervised reading and research in a subject of astrophysics that is not normally included in the regular course offerings of the department.
MBB  980N;Neuroaesthetics;TBA;Mind, Brain & Behavior;2021 Fall;[];Cancelled;Focuses on neuroaesthetics, an emerging field offering a scientific perspective on the nature of art and the ways that art reveals human nature. Integrates findings from neuroscience, psychology, evolutionary biology, philosophy, and scholarship in the arts and humanities. Begins with a brief history of ideas on aesthetics, art, beauty, and pleasure. Considers the neural underpinnings of response to art in the brain's reward system and default network. Among the questions considered: Why are
FRSEMR  50R;What Do You See in the Night Sky?;Fu;Freshman Seminars;2021 Fall;"[{""days"":""M""}]";6:00pm -  8:45pm;People around the world observe the same basic celestial phenomena- the rise and set of stars, the changing phases of the moon, the occasional bewildering eclipse. But cultures have come to interpret these signs very differently, giving rise to diverse calendar systems and mythological frameworks. For instance, the position of the sun, the visibility of star formations, and the lunar cycle have all been used to define the concept of the year, sometimes with more than one definition operating in
GENED 1070;Life as a Planetary Phenomenon;Sasselov;General Education;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";12:00pm -  1:15pm;What is it about Earth that enables life to thrive? This question was reinvigorated with the 2016 ground-breaking discovery of a habitable planet around the nearest star, Proxima Centauri. A decade of exploration confirmed that such planets are common in our galaxy, and the commonality of habitable planets has raised anew some age-old questions: Where do we come from? What is it to be human? Where are we going? Are we alone in the universe? And last, but not least, what are the dangers of becomi
FRSEMR  24U;“How Did I Get Here?”—Appreciating “Normal” Child Development;Prager;Freshman Seminars;2022 Spring;"[{""days"":""T""}]";3:45pm -  5:45pm;"Understanding ""normal"" growth and development may seem like a relatively easy task at first. We take the nuances of developmental differences for granted because we're so accustomed to experiencing them. Nevertheless, defining normal (versus abnormal) development is a complex and controversial task. Development involves a tricky intermingling of environmental stimuli, cultural and social expectations, rapid and not always intuitive changes in brain development, temperamental differ"
ENGLISH  98R 005;Tutorial - Junior Year;Unluonen;English;2022 Spring;[];-  TBA;Supervised small group junior tutorial in the study of literature in English.
GENED 1100;The Two Koreas in the Modern World;Eckert;General Education;2022 Spring;"[{""days"":""M""},{""days"":""W""}]";12:00pm -  1:15pm;How and why did there come to be two competing and adversarial states on the Korean peninsula in our contemporary world, one a prosperous capitalist democracy of global reach, and the other an impoverished dictatorship, bordering on theocracy and almost totally estranged from the international community—both claiming exclusive rights to speak for the Korean people and the Korean “nation” as a whole? In this course, we will explore not only the two contemporary Korean societies,
HIST  13T;Women in Economic Life;Rothschild;History;2021 Fall;"[{""days"":""M""}]";12:45pm -  2:45pm;Examines the economic lives of women in different historical periods and places. Considers legal, literary, statistical and other sources. Will also explore the place of women in the history of economic thought. Students will prepare individual research projects, and are encouraged to undertake original research using primary sources.
INDSTUDY  1 014;Independent Study;Thomas;No Department;2021 Fall;[];-  TBA;Independent Study is designed to provide credit for field research, academic study not available in regular course work, or practice or performance in the arts. What distinguishes a suitable project is the application of analytical skills to the object of Independent Study.  Any sophomore, junior, or senior whose previous record is satisfactory may petition to undertake Independent Study for non-letter-graded credit.  Students may access the petition for Independent Study on the Office
GERMAN  61;Advanced Grammar and Reading;Burgard;Germanic Languages & Lit;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";10:30am -  11:45am;Advanced language instruction through systematic study of the rules of grammar, their nuances, and their exceptions. Application of this knowledge through the meticulous reading and parsing of selections from sophisticated texts (Goethe, Kant, Novalis, Kleist, Heine, Nietzsche, Freud, Mann, Kafka) prepares students for any courses, internships, or work requiring advanced German reading skills.
MCB  64;Cell Biology in the World;Liu;Molecular & Cellular Biology;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";1:30pm -  2:45pm;This course teaches fundamental concepts in cell biology in the context of several individual life histories drawn from different parts of the world. Each life case focuses on key aspects of human development, growth, aging and disease while providing a nuanced view of the interplay between the life sciences, geography and culture. For example, the Human Immunodeficiency Virus and AIDS in South Asia is used to explore mucosal immunity and the basis for estimating relative inf
CLS-STDY  97B;Introduction to the Ancient Roman World;Morgan;Classics, The;2022 Spring;"[{""days"":""M""},{""days"":""W""}]";12:00pm -  1:15pm;"This course has three components: a chronological survey of Roman history from the beginnings to Late Antiquity; thematic explorations of key features of culture and daily life in Rome as well as other parts of Roman Italy and the provinces (including religion, law and government, elite society, Romanization, urban topography, etc.); and an introduction to the tools and methods available for research on the Roman world, with an emphasis on material culture and documentary sources."
LING  73A 001;Beginning American Sign Language I;Bottoms;Linguistics;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";9:00am -  10:15am;This course is an introduction to the language and linguistic structure of American Sign Language and to Deaf culture for students with no prior experience. Focus will be on gaining a foundation for later fluency and understanding the role of ASL in Deaf history, current culture, education, bilingualism, and research.
SPANSH  70C;Tales of Two Spains: A Survey of Spanish Modern Literature and Culture (18th to 21st centuries);Aguirre-Oteiza;Romance Languages & Lit;2022 Spring;"[{""days"":""Th""}]";12:00pm -  2:00pm;This course presents a diverse set of literary and cultural materials that will help understand Spain’s frequently contested Modernity. The guiding topic of discussion will be the conflicting definitions of Spanish national identity from the 18th to the 21stcenturies. Materials include short stories, philosophical and political essays, travelers’ letters, memoirs, journals, travelogues, films and poems.
HIST-LIT  98;Tutorial - Junior Year;Kaminsky;History & Literature;2021 Fall;[];-  TBA;History and Literature’s Junior Tutorial is a year-long course that provides History & Literature concentrators with a unique opportunity to develop, explore, focus, or expand their intellectual interests. Juniors are clustered into small groups (usually three students) and matched with a tutor based on common interests.
CHNSE  BA 001;Elementary Modern Chinese;Du;East Asian Langs & Civ;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";9:00am -  10:00am;Non-intensive introduction to modern Chinese pronunciation, grammar, conversation, reading, and writing.
ENGLISH  98R 004;Tutorial - Junior Year;Sears;English;2022 Spring;[];-  TBA;Supervised small group junior tutorial in the study of literature in English.
ENG-SCI  96;Engineering Problem Solving and Design Project;Habbal;Engineering Sciences;2022 Spring;"[{""days"":""M""},{""days"":""W""}]";3:45pm -  5:45pm;Semester-long team-based project providing experience working with clients on complex multi-stakeholders real problems. Course provides exposure to problem definition, problem framing, qualitative and quantitative research methods, modeling, generation and co-design of creative solutions, engineering design trade-offs, and documentation/communication skills. Ordinarily taken in the junior year.
OEB  91R;Supervised Reading;Giribet;Organismic & Evolutionary Biol;2021 Fall;[];-  TBA;Supervised reading on topics not covered by regular courses. For OEB concentrators, work may be supervised by faculty in other departments, provided it is co-sponsored by an OEB faculty member. For non-concentrators, work must be directed by an OEB faculty member. Students must submit a registration request to the OEB Undergraduate Office before enrollment. Students cannot take OEB 91r and 99r simultaneously with the same director.
